Star Wars,My Fair Lady,GoodFellas
0.27693747590587114,0.4421135791134085,0.641888945412872
0.5748608838419947,0.7735226341667394,0.7078951603438899
0.6382299701287956,0.7861567028289241,0.7184201452369863
0.8926295553164149,0.7947011295338595,0.7266584197556547
0.9002466940385898,0.799532477386394,0.7719827242554926
0.9074373547551481,0.8829105147818421,0.8144163527334614
0.9351146077040476,0.9124611711222033,0.8848638180876498
0.9479929513657545,0.9209700699356743,0.9246266143332111
0.9853713261695594,0.9236727594002649,0.9952728205670328
0.9863991186622113,0.9238778337560074,1.0127426340410213
