Star Wars,My Fair Lady,GoodFellas
0.3336821296106701,0.9109206783571949,0.5950518068364138
0.6267240460359589,0.9401878733570335,0.6427737095336674
0.6678629770339587,0.9591934068138953,0.7182329391461897
0.7971895987915788,0.9799263532680497,0.7882758774011411
0.8952464019304555,1.0030900745942626,0.7906124290335138
0.9376583997481308,1.0508257200657427,0.8826683512212145
0.9494619985757506,1.0974452202077833,0.8845763976964472
0.961392519855666,1.1058878053184031,0.9009648563632009
0.9621792952394882,1.1069278394663729,0.9090134648338032
0.9811641018357387,1.1414175920766003,0.94417433409686
