s.no.,objective,test_rmse
3,-90970.65910876785,1.1123199036078353
8,-90973.9284457892,1.0917738955564176
6,-91006.22528446713,1.1036878359111402
2,-91010.67632977323,1.1065414120946873
10,-91017.88021724827,1.0915887178138879
7,-91038.14434674264,1.1360558918153054
5,-91126.5871020281,1.1012431747256717
1,-91130.8922748295,1.1184667317899366
9,-91254.99975532113,1.128805361352601
4,-91255.7464105189,1.0932626424580183
